,Component Name,Sample,Intensity,Cohort Name,Formula,Name,Parent Formula,Isotopologue,Metab,Sample Number,Replicate,Background Sample,Label,frag_keys,Background Corrected,Background Corrected with zero,NA Corrected,NA Corrected with zero,Pool_total,Fractional enrichment
41,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,13400,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,172,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",6988.0,6988.0,-3834.9,0.0,260055.6,0.0
42,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,2730,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,172,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-789.0,0.0,-1039.22,0.0,260055.6,0.0
43,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,67,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,172,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-533.0,0.0,-521.4,0.0,260055.6,0.0
44,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,67,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,172,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-199.0,0.0,-193.08,0.0,260055.6,0.0
45,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178,114000,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,178,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",114000.0,114000.0,119061.6,119061.6,252903.0,0.470779706053309
46,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178,18500,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,178,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",12088.0,12088.0,7428.93,7428.93,252903.0,0.02937462189060628
47,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178,56100,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,178,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",52581.0,52581.0,53345.77,53345.77,252903.0,0.21093371767041116
48,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178,55500,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,178,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",54900.0,54900.0,54342.09,54342.09,252903.0,0.21487325180009725
49,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13G13CglcG9240min11 | Sample Number = 178,19600,G. [13C-glc] G9 240min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,178,5,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min12 | Sample Number = 172,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",19334.0,19334.0,18724.61,18724.61,252903.0,0.0740387025855763
50,Malate 133/115,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,223000,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+0,Malate,180,6,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,C13_133.0_115.0,"MultiquantKey(name='Malate 133/115', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",223000.0,223000.0,232901.2,232901.2,232901.94,0.9999968226971403
51,Malate 134/116,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,12700,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+1,Malate,180,6,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,C13_134.0_116.0,"MultiquantKey(name='Malate 134/116', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",6288.0,6288.0,-3403.81,0.0,232901.94,0.0
52,Malate 135/117,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,2470,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+2,Malate,180,6,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,C13_135.0_117.0,"MultiquantKey(name='Malate 135/117', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-1049.0,0.0,-1281.68,0.0,232901.94,0.0
53,Malate 136/118,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,533,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+3,Malate,180,6,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,C13_136.0_118.0,"MultiquantKey(name='Malate 136/118', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",-67.0,0.0,-44.46,0.0,232901.94,0.0
54,Malate 137/119,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,266,A. [13C-glc] G9 0min,C4H3O4,Malate 133/115,C4H5O5,M+4,Malate,180,6,TA13Cglucosewithvaryingglc2Sept13A13CglcG90min13 | Sample Number = 180,C13_137.0_119.0,"MultiquantKey(name='Malate 137/119', formula='C4H3O4', parent='Malate 133/115', parent_formula='C4H5O5')",0.0,0.0,0.74,0.74,232901.94,3.1773028597357323e-06
