Label,Name,SAMPLE_2_10,SAMPLE_2_2,SAMPLE_2_3,SAMPLE_2_4,SAMPLE_2_5,SAMPLE_2_6,SAMPLE_2_7,SAMPLE_2_8,SAMPLE_2_9,SAMPLE_3_10,SAMPLE_3_2,SAMPLE_3_3,SAMPLE_3_4,SAMPLE_3_5,SAMPLE_3_6,SAMPLE_3_7,SAMPLE_3_8,SAMPLE_3_9,SAMPLE_4_10,SAMPLE_4_2,SAMPLE_4_3,SAMPLE_4_4,SAMPLE_4_5,SAMPLE_4_6,Formula
C13-label-2,Fumaric acid,13946.07,13625.99,26500.73,0.0,149979.4,128838.5,75240.29,10959.18,13150.3,0.0,12781.34,0.0,0.0,0.0,0.0,0.0,0.0,10134.58,25547.88,0.0,16289.73,30639.22,158759.3,136686.9,C4H4O4
C13-label-3,Fumaric acid,0.0,0.0,0.0,0.0,0.0,10410.27,14077.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111819.9,0.0,0.0,28840.91,90373.72,70293.66,C4H4O4
C13-label-4,Fumaric acid,0.0,0.0,0.0,0.0,9513.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244169.0,17548.02,55659.81,141479.6,479988.1,436633.1,C4H4O4
C12 PARENT,L-Valine,12100000.0,7692174.0,6199688.0,6889434.0,12400000.0,12700000.0,11900000.0,4073759.0,6231862.0,7836746.0,6432942.0,2985979.0,3289207.0,12500000.0,16200000.0,14100000.0,6524682.0,6629652.0,10600000.0,2825353.0,4130386.0,13500000.0,12500000.0,14000000.0,C5H11NO2
C13-label-1,L-Valine,730215.6,436222.2,378513.2,407516.1,757146.6,769008.7,695983.8,228452.3,376310.8,480691.0,396467.4,185200.3,194692.3,657392.4,953329.3,822439.9,399159.3,389849.2,637826.1,164305.3,257048.9,816136.2,668893.6,831701.8,C5H11NO2
C13-label-2,L-Valine,55442.96,17331.97,17380.9,27072.14,53382.91,54324.46,46817.38,19394.76,28207.08,26654.67,24497.2,4110.168,6227.774,46475.5,75282.09,61695.05,22617.53,27219.85,47738.04,8111.492,8851.495,73137.44,67889.45,62999.8,C5H11NO2
C13-label-3,L-Valine,0.0,0.0,0.0,2491.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H11NO2
C13-label-4,L-Valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H11NO2
C13-label-5,L-Valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H11NO2
N15-label-1,L-Valine,34058.59,29317.03,17949.28,17574.64,35769.47,35276.36,43117.0,11131.95,17610.95,34829.9,16525.79,5513.07,5720.125,30536.93,50628.59,62174.56,27132.12,11175.14,57165.25,17968.62,35244.99,68884.41,172272.1,208140.6,C5H11NO2
C13N15-label-1-1,L-Valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4788.89,3516.726,C5H11NO2
C13N15-label-2-1,L-Valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H11NO2
C13N15-label-3-1,L-Valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H11NO2
C13N15-label-4-1,L-Valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H11NO2
C13N15-label-5-1,L-Valine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C5H11NO2
C12 PARENT,Succinic acid,161000000.0,101000000.0,136000000.0,119000000.0,175000000.0,182000000.0,167000000.0,126000000.0,169000000.0,151000000.0,117000000.0,144000000.0,140000000.0,175000000.0,217000000.0,221000000.0,128000000.0,156000000.0,155000000.0,115000000.0,163000000.0,143000000.0,141000000.0,170000000.0,C4H6O4
C13-label-1,Succinic acid,7189216.0,4930722.0,6663702.0,5737966.0,11500000.0,12400000.0,11400000.0,5559762.0,7610908.0,6813784.0,5635142.0,6668210.0,6087282.0,8846295.0,10500000.0,10400000.0,5428888.0,6903702.0,6787832.0,6005942.0,7829520.0,6844342.0,13800000.0,13400000.0,C4H6O4
C13-label-2,Succinic acid,1301198.0,973543.8,1205178.0,1272226.0,11100000.0,10200000.0,10400000.0,1180325.0,1584152.0,1260214.0,1131362.0,1360654.0,1203888.0,1499492.0,2006115.0,1915485.0,1168827.0,1351392.0,1248817.0,1309557.0,1761245.0,1800560.0,16500000.0,13200000.0,C4H6O4
C13-label-3,Succinic acid,18066.59,175415.3,218623.3,223905.4,2524789.0,2522604.0,2029423.0,26234.5,48871.17,20467.83,32824.61,16383.59,24599.41,49592.86,106182.5,47939.27,19442.08,18981.02,213141.5,163622.2,131121.4,234851.4,1752492.0,1464356.0,C4H6O4
C13-label-4,Succinic acid,0.0,0.0,0.0,0.0,601997.0,555557.1,612373.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6213092.0,3960319.0,4807632.0,5652832.0,44900000.0,37100000.0,C4H6O4
C12 PARENT,L-Threonine,6848604.0,3987244.0,4944558.0,4000992.0,7987970.0,8594436.0,7111682.0,2933007.0,3857633.0,4503050.0,3840192.0,2043889.0,2540039.0,8684869.0,10000000.0,9351364.0,4603463.0,4470438.0,5975236.0,1891450.0,2597676.0,6731722.0,8909731.0,9887651.0,C4H9NO3
C13-label-1,L-Threonine,284366.9,188892.5,188175.8,164117.7,386851.8,370054.1,318130.7,130239.5,181101.7,203800.1,169739.1,77947.91,104454.5,346369.8,395901.6,390814.9,199872.5,195560.9,237277.9,92153.84,121539.5,308217.7,386944.1,411389.6,C4H9NO3
C13-label-2,L-Threonine,31951.5,14649.47,22327.24,25282.79,54152.04,41603.12,17692.91,11099.04,13503.73,17005.85,14627.33,15005.4,10753.4,21560.16,67381.31,74143.52,16986.73,35533.87,35772.73,2998.414,15024.72,0.0,37897.29,42987.11,C4H9NO3
