Component Name,Formula,Unlabeled Fragment,Isotopic Tracer,Parent Formula,Isotopologue,Metab
n-acetyl-aspartate 176/90,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+2,n-acetyl-aspartate
n-acetyl-aspartate 177/88,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+3,n-acetyl-aspartate
n-acetyl-aspartate 177/89,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+3,n-acetyl-aspartate
n-acetyl-aspartate 177/90,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+3,n-acetyl-aspartate
n-acetyl-aspartate 177/91,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+3,n-acetyl-aspartate
n-acetyl-aspartate 178/89,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+4,n-acetyl-aspartate
n-acetyl-aspartate 178/90,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+4,n-acetyl-aspartate
n-acetyl-aspartate 178/91,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+4,n-acetyl-aspartate
n-acetyl-aspartate 179/90,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+5,n-acetyl-aspartate
n-acetyl-aspartate 179/91,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+5,n-acetyl-aspartate
n-acetyl-aspartate 180/91,C6H8NO5,n-acetyl-aspartate 174/88,C13,C3H6O2N,M+6,n-acetyl-aspartate
